,conId,symbol,secType,expiration,strike,right,exchange,currency,tradingClass,openPrice,closePrice,lowPrice,highPrice,lastPrice,tradingVolume
163,747767359,ES,FOP,20250214,6150.0,P,CME,USD,EW2,6131.75,9.95,8.0,9.4,21.75,-1.0
164,747767359,ES,FOP,20250214,6150.0,P,CME,USD,EW2,6131.75,9.95,8.0,22.5,21.75,-1.0
165,747767359,ES,FOP,20250214,6150.0,P,CME,USD,EW2,6131.75,9.95,21.75,22.5,21.75,-1.0
166,747767359,ES,FOP,20250214,6150.0,P,CME,USD,EW2,6131.75,22.5,21.75,22.5,21.75,-1.0
167,747767359,ES,FOP,20250214,6150.0,P,CME,USD,EW2,6131.75,22.5,21.75,22.5,21.75,-1.0
168,747767359,ES,FOP,20250214,6150.0,P,CME,USD,EW2,6131.75,22.5,21.75,22.5,21.75,-1.0
169,747767373,ES,FOP,20250214,6150.0,C,CME,USD,EW2,6131.75,22.5,21.75,7.6,21.75,-1.0
170,747767373,ES,FOP,20250214,6150.0,C,CME,USD,EW2,6131.75,22.5,6.05,7.6,21.75,-1.0
171,747767373,ES,FOP,20250214,6150.0,C,CME,USD,EW2,6131.75,7.75,6.05,7.6,21.75,-1.0
172,747767373,ES,FOP,20250214,6150.0,C,CME,USD,EW2,6131.75,7.75,6.05,7.6,6.05,-1.0
173,747767373,ES,FOP,20250214,6150.0,C,CME,USD,EW2,6131.75,7.75,6.05,7.6,6.05,-1.0
174,747767373,ES,FOP,20250214,6150.0,C,CME,USD,EW2,6131.75,7.75,6.05,7.6,6.05,-1.0
175,759513768,ES,FOP,20250214,6155.0,C,CME,USD,EW2,6131.75,7.75,6.05,7.6,4.4,-1.0
176,759513768,ES,FOP,20250214,6155.0,C,CME,USD,EW2,6131.75,7.75,6.05,5.6,4.4,-1.0
177,759513768,ES,FOP,20250214,6155.0,C,CME,USD,EW2,6131.75,7.75,4.4,5.6,4.4,-1.0
178,759513768,ES,FOP,20250214,6155.0,C,CME,USD,EW2,6131.75,5.85,4.4,5.6,4.4,-1.0
179,759513768,ES,FOP,20250214,6155.0,C,CME,USD,EW2,6131.75,5.85,4.4,5.6,4.4,-1.0
180,759513768,ES,FOP,20250214,6155.0,C,CME,USD,EW2,6131.75,5.85,4.4,5.6,4.4,-1.0
181,759513862,ES,FOP,20250214,6155.0,P,CME,USD,EW2,6131.75,25.5,4.4,5.6,4.4,-1.0
182,759513862,ES,FOP,20250214,6155.0,P,CME,USD,EW2,6131.75,25.5,4.4,5.6,4.4,-1.0
183,759513862,ES,FOP,20250214,6155.0,P,CME,USD,EW2,6131.75,25.5,4.4,5.6,4.4,-1.0
184,757532719,ES,FOP,20250214,6160.0,P,CME,USD,EW2,6131.75,29.0,4.4,5.6,4.4,-1.0
185,757532719,ES,FOP,20250214,6160.0,P,CME,USD,EW2,6131.75,29.0,4.4,5.6,4.4,-1.0
186,757532719,ES,FOP,20250214,6160.0,P,CME,USD,EW2,6131.75,29.0,4.4,5.6,4.4,-1.0
187,757532839,ES,FOP,20250214,6160.0,C,CME,USD,EW2,6131.75,29.0,4.4,4.15,4.4,-1.0
188,757532839,ES,FOP,20250214,6160.0,C,CME,USD,EW2,6131.75,29.0,3.25,4.15,4.4,-1.0
189,757532839,ES,FOP,20250214,6160.0,C,CME,USD,EW2,6131.75,4.25,3.25,4.15,4.4,-1.0
190,757532839,ES,FOP,20250214,6160.0,C,CME,USD,EW2,6131.75,4.25,3.25,4.15,3.3,-1.0
191,757532839,ES,FOP,20250214,6160.0,C,CME,USD,EW2,6131.75,4.25,3.25,4.15,3.3,-1.0
192,757532839,ES,FOP,20250214,6160.0,C,CME,USD,EW2,6131.75,4.25,3.25,4.15,3.3,-1.0
193,759513561,ES,FOP,20250214,6165.0,P,CME,USD,EW2,6131.75,4.25,3.25,4.15,34.75,-1.0
194,759513561,ES,FOP,20250214,6165.0,P,CME,USD,EW2,6131.75,4.25,3.25,34.75,34.75,-1.0
195,759513561,ES,FOP,20250214,6165.0,P,CME,USD,EW2,6131.75,4.25,32.75,34.75,34.75,-1.0
196,759513561,ES,FOP,20250214,6165.0,P,CME,USD,EW2,6131.75,32.75,32.75,34.75,34.75,-1.0
197,759513561,ES,FOP,20250214,6165.0,P,CME,USD,EW2,6131.75,32.75,32.75,34.75,34.75,-1.0
198,759513561,ES,FOP,20250214,6165.0,P,CME,USD,EW2,6131.75,32.75,32.75,34.75,34.75,-1.0
199,759513848,ES,FOP,20250214,6165.0,C,CME,USD,EW2,6131.75,32.75,32.75,34.75,2.5,-1.0
200,759513848,ES,FOP,20250214,6165.0,C,CME,USD,EW2,6131.75,32.75,32.75,3.0,2.5,-1.0
201,759513848,ES,FOP,20250214,6165.0,C,CME,USD,EW2,6131.75,32.75,2.5,3.0,2.5,-1.0
202,759513848,ES,FOP,20250214,6165.0,C,CME,USD,EW2,6131.75,3.0,2.5,3.0,2.5,-1.0
203,759513848,ES,FOP,20250214,6165.0,C,CME,USD,EW2,6131.75,3.0,2.5,3.0,2.5,-1.0
204,759513848,ES,FOP,20250214,6165.0,C,CME,USD,EW2,6131.75,3.0,2.5,3.0,2.5,-1.0
205,757532810,ES,FOP,20250214,6170.0,C,CME,USD,EW2,6131.75,3.0,2.5,1.9,2.5,-1.0
206,757532810,ES,FOP,20250214,6170.0,C,CME,USD,EW2,6131.75,3.0,1.45,1.9,2.5,-1.0
207,757532810,ES,FOP,20250214,6170.0,C,CME,USD,EW2,6131.75,2.05,1.45,1.9,2.5,-1.0
208,757532810,ES,FOP,20250214,6170.0,C,CME,USD,EW2,6131.75,2.05,1.45,1.9,1.45,-1.0
209,757532810,ES,FOP,20250214,6170.0,C,CME,USD,EW2,6131.75,2.05,1.45,1.9,1.45,-1.0
210,757532810,ES,FOP,20250214,6170.0,C,CME,USD,EW2,6131.75,2.05,1.45,1.9,1.45,-1.0
211,757533283,ES,FOP,20250214,6170.0,P,CME,USD,EW2,6131.75,36.75,1.45,1.9,1.45,-1.0
212,757533283,ES,FOP,20250214,6170.0,P,CME,USD,EW2,6131.75,36.75,1.45,1.9,1.45,-1.0
213,757533283,ES,FOP,20250214,6170.0,P,CME,USD,EW2,6131.75,36.75,1.45,1.9,1.45,-1.0
214,747767522,ES,FOP,20250214,6175.0,C,CME,USD,EW2,6131.75,36.75,1.45,1.9,1.45,-1.0
215,747767522,ES,FOP,20250214,6175.0,C,CME,USD,EW2,6131.75,36.75,1.45,1.9,1.45,-1.0
216,747767614,ES,FOP,20250214,6175.0,P,CME,USD,EW2,6131.75,41.0,1.45,1.9,1.45,-1.0
217,747767614,ES,FOP,20250214,6175.0,P,CME,USD,EW2,6131.75,41.0,1.45,1.9,1.45,-1.0
218,747767614,ES,FOP,20250214,6175.0,P,CME,USD,EW2,6131.75,41.0,1.45,1.9,1.45,-1.0
219,757532646,ES,FOP,20250214,6180.0,P,CME,USD,EW2,6131.75,45.5,1.45,1.9,1.45,-1.0
220,757532646,ES,FOP,20250214,6180.0,P,CME,USD,EW2,6131.75,45.5,1.45,1.9,1.45,-1.0
