,open,high,low,close,volume
20231123 04:29:00 Australia/Sydney,455.5,455.5,455.38,455.38,499.61
20231123 04:30:00 Australia/Sydney,455.39,455.41,455.3,455.35,793.58
20231123 04:31:00 Australia/Sydney,455.35,455.4,455.2,455.22,796.98
20231123 04:32:00 Australia/Sydney,455.21,455.24,455.06,455.08,732.23
20231123 04:33:00 Australia/Sydney,455.06,455.11,454.87,455.04,1720.6
20231123 04:34:00 Australia/Sydney,455.03,455.2,455.0,455.16,737.38
20231123 04:35:00 Australia/Sydney,455.17,455.17,455.07,455.13,472.99
20231123 04:36:00 Australia/Sydney,455.13,455.22,455.13,455.15,407.44
20231123 04:37:00 Australia/Sydney,455.16,455.18,455.11,455.12,478.5
20231123 04:38:00 Australia/Sydney,455.11,455.18,455.08,455.15,1278.84
20231123 04:39:00 Australia/Sydney,455.14,455.17,455.11,455.12,440.32
20231123 04:40:00 Australia/Sydney,455.11,455.13,455.01,455.07,938.87
20231123 04:41:00 Australia/Sydney,455.08,455.09,454.91,454.93,1257.82
20231123 04:42:00 Australia/Sydney,454.94,455.01,454.91,454.93,1011.87
20231123 04:43:00 Australia/Sydney,454.92,454.93,454.69,454.82,1280.43
20231123 04:44:00 Australia/Sydney,454.82,454.84,454.73,454.81,706.18
20231123 04:45:00 Australia/Sydney,454.81,454.81,454.69,454.77,1370.73
20231123 04:46:00 Australia/Sydney,454.77,454.85,454.75,454.85,897.63
20231123 04:47:00 Australia/Sydney,454.84,454.86,454.76,454.83,560.12
20231123 04:48:00 Australia/Sydney,454.83,454.83,454.66,454.77,902.16
20231123 04:49:00 Australia/Sydney,454.76,454.77,454.65,454.67,942.41
20231123 04:50:00 Australia/Sydney,454.68,454.75,454.62,454.75,881.78
20231123 04:51:00 Australia/Sydney,454.75,454.89,454.73,454.87,938.51
20231123 04:52:00 Australia/Sydney,454.87,455.03,454.76,455.0,1049.81
20231123 04:53:00 Australia/Sydney,455.0,455.06,454.94,455.0,803.58
20231123 04:54:00 Australia/Sydney,454.99,454.99,454.89,454.92,545.15
20231123 04:55:00 Australia/Sydney,454.92,454.98,454.88,454.96,379.61
20231123 04:56:00 Australia/Sydney,454.96,455.01,454.82,454.87,460.28
20231123 04:57:00 Australia/Sydney,454.86,455.01,454.86,454.95,288.02
20231123 04:58:00 Australia/Sydney,454.95,455.1,454.94,455.07,380.12
20231123 04:59:00 Australia/Sydney,455.07,455.14,455.04,455.08,340.07
20231123 05:00:00 Australia/Sydney,455.08,455.21,455.07,455.14,707.73
20231123 05:01:00 Australia/Sydney,455.13,455.16,455.03,455.12,335.74
20231123 05:02:00 Australia/Sydney,455.12,455.18,455.12,455.16,572.36
20231123 05:03:00 Australia/Sydney,455.16,455.16,455.07,455.08,205.34
20231123 05:04:00 Australia/Sydney,455.08,455.1,455.0,455.01,347.96
20231123 05:05:00 Australia/Sydney,455.01,455.19,455.01,455.19,261.53
20231123 05:06:00 Australia/Sydney,455.19,455.35,455.16,455.33,422.28
